Detector, Descriptor, Total time [ms], Det time [ms], Des time [ms], KPs [#], Matched KPs [#], Mean Neigh Size [px], Variance Neigh Size [px]
FAST, ORB,4.531711,2.438282,2.093429,412.888889,309.333333,7,0
FAST, BRIEF,4.587378,2.412119,2.17526,412.888889,316.666667,7,0
FAST, BRISK,7.021611,2.805532,4.216079,412.888889,245.444444,7,0
ORB, BRIEF,10.29846,9.534261,0.764199,117.666667,60,55.887336,638.62295
ORB, ORB,15.855274,9.314179,6.541095,117.666667,83.888889,55.887336,638.62295
SHITOMASI, BRIEF,17.044986,15.97015,1.074836,118,105.888889,4,0
HARRIS, ORB,18.385779,17.218196,1.167583,25.666667,18,6,0
SHITOMASI, ORB,18.557521,16.976783,1.580738,118,101.888889,4,0
HARRIS, BRIEF,18.867051,18.34572,0.521331,25.666667,19.222222,6,0
SHITOMASI, BRISK,18.870905,16.966849,1.904056,118,85.666667,4,0
HARRIS, BRISK,18.935423,18.272146,0.663277,25.666667,15.777778,6,0
ORB, BRISK,24.642521,23.18229,1.460231,117.666667,82.666667,55.887336,638.62295
HARRIS, SIFT,34.081259,17.231618,16.849641,25.666667,18.111111,6,0
SHITOMASI, SIFT,34.801036,15.890631,18.910406,118,104,4,0
FAST, SIFT,36.406262,2.509079,33.897183,412.888889,311.666667,7,0
BRISK, BRIEF,37.977726,36.486325,1.491401,273.333333,186.222222,22.11159,216.008037
BRISK, BRISK,40.002646,36.962336,3.040311,273.333333,171.666667,22.11159,216.008037
FAST, FREAK,41.728578,2.395417,39.333161,412.888889,250.444444,7,0
ORB, FREAK,47.796837,9.165061,38.631775,117.666667,46.222222,55.887336,638.62295
BRISK, ORB,49.151103,42.523176,6.627928,273.333333,164.444444,22.11159,216.008037
SHITOMASI, FREAK,52.675208,15.204469,37.470739,118,85.666667,4,0
ORB, SIFT,56.383995,8.263839,48.120156,117.666667,84,55.887336,638.62295
HARRIS, FREAK,57.905402,18.22882,39.676582,25.666667,16,6,0
AKAZE, BRIEF,72.958334,71.827245,1.131089,165.888889,139.666667,7.67099,12.179642
AKAZE, BRISK,74.13517,72.2527,1.88247,165.888889,133.777778,7.67099,12.179642
BRISK, FREAK,74.884182,36.973011,37.911171,273.333333,166.222222,22.11159,216.008037
AKAZE, ORB,77.639713,73.393274,4.246439,165.888889,130.555556,7.67099,12.179642
BRISK, SIFT,81.416671,36.741098,44.675573,273.333333,179.666667,22.11159,216.008037
SIFT, BRIEF,94.120532,93.197254,0.923278,137.222222,77.222222,5.050906,36.299658
SIFT, BRISK,95.927391,94.310904,1.616487,137.222222,65.333333,5.050906,36.299658
AKAZE, SIFT,98.841501,72.896491,25.94501,165.888889,140.333333,7.67099,12.179642
AKAZE, FREAK,109.846607,73.57206,36.274546,165.888889,131,7.67099,12.179642
SIFT, FREAK,124.181121,89.077228,35.103893,137.222222,65.555556,5.050906,36.299658
AKAZE, AKAZE,141.860239,77.963239,63.897,165.888889,138.777778,7.67099,12.179642
SIFT, SIFT,161.269873,88.78008,72.489793,137.222222,88,5.050906,36.299658
